search_term,date_searched,url,title,urn
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br:federal:medida.provisoria:2018-05-27;833,"Medida Provisória nº 833, de 27 de Maio de 2018",urn:lex:br:federal:medida.provisoria:2018-05-27;833
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2018-08-24;13711,"Lei nº 13.711, de 24 de Agosto de 2018",urn:lex:br:federal:lei:2018-08-24;13711
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais:estadual:lei:1984-11-26;8750,"Lei nº 8750, de 26 de novembro de 1984",urn:lex:br;minas.gerais:estadual:lei:1984-11-26;8750
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;uberaba:municipal:lei:2004-11-12;9436,"Lei nº 9436 , de 12 de novembro de 2004",urn:lex:br;minas.gerais;uberaba:municipal:lei:2004-11-12;9436
veículos comerciais,2025-06-06 12:27:52,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2023-06-30;1178,MPV 1178/2023,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2023-06-30;1178
transporte de mercadorias,2025-06-06 12:27:55,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2022-12-21;1147,MPV 1147/2022,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2022-12-21;1147
modal rodoviário,2025-06-06 12:27:58,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2003-11-20;2562,PL 2562/2003,urn:lex:br:camara.deputados:projeto.lei;pl:2003-11-20;2562
modal rodoviário,2025-06-06 12:27:58,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2018;1001137342,Descarregamento de contêineres,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2018;1001137342
modal rodoviário,2025-06-06 12:27:58,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.7:acordao;rr:2017-03-29;53800-2012-14-17-0,Acórdão do processo Nº RR - 53800-82.2012.5.17.0014,urn:lex:br:tribunal.superior.trabalho;turma.7:acordao;rr:2017-03-29;53800-2012-14-17-0
modal rodoviário,2025-06-06 12:27:58,https://www.lexml.gov.br/urn/urn:lex:br:superior.tribunal.justica;turma.4:acordao;resp:2018-11-27;1155590-1789335,REsp 1155590 / DF,urn:lex:br:superior.tribunal.justica;turma.4:acordao;resp:2018-11-27;1155590-1789335
modal rodoviário,2025-06-06 12:27:58,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:2003;000658908,Transporte aéreo internacional,urn:lex:br:rede.virtual.bibliotecas:livro:2003;000658908
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:lei:2003-12-19;11831,"Lei nº 11831, de 19 de Dezembro de 2003",urn:lex:br;sao.paulo;campinas:municipal:lei:2003-12-19;11831
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;hortolandia:municipal:lei:2017-06-07;3355,"Lei n° 3355, de 07 de junho de 2017",urn:lex:br;sao.paulo;hortolandia:municipal:lei:2017-06-07;3355
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br;santa.catarina:estadual:lei:2022-01-05;18324,"LEI Nº 18.324, DE 5 DE JANEIRO DE 2022",urn:lex:br;santa.catarina:estadual:lei:2022-01-05;18324
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2005;1000728182,O Abastecimento de GNV e as Prescrições da NR-16,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2005;1000728182
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:lei.complementar:2003-06-27;8,"Lei Complementar nº 8, de 27 de Junho de 2003",urn:lex:br;sao.paulo;campinas:municipal:lei.complementar:2003-06-27;8
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:lei:2022-01-05;7056,"Lei nº 7056, de 05 de janeiro de 2022",urn:lex:br;distrito.federal:distrital:lei:2022-01-05;7056
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br:federal:medida.provisoria:2023-01-01;1157,"Medida Provisória nº 1.157, de 1º de Janeiro de 2023",urn:lex:br:federal:medida.provisoria:2023-01-01;1157
gás natural veicular,2025-06-06 12:28:00,https://www.lexml.gov.br/urn/urn:lex:br:federal:medida.provisoria:2023-02-28;1163,"Medida Provisória nº 1.163, de 28 de Fevereiro de 2023",urn:lex:br:federal:medida.provisoria:2023-02-28;1163
